Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,DB_10ulrr_P1-B-1_01_25883,1_P1-B-3_01_25858,10_P1-C-3_01_25865,11_P1-C-4_01_25866,12_P1-C-5_01_25860,13_P1-C-6_01_25861,14_P1-C-7_01_25875,15_P1-C-8_01_25873,16_P1-C-9_01_25870,17_P1-D-1_01_25859,18_P1-D-2_01_25862,19_P1-D-3_01_25878,2_P1-B-4_01_25872,3_P1-B-5_01_25874,4_P1-B-6_01_25867,5_P1-B-7_01_25863,6_P1-B-8_01_25869,7_P1-B-9_01_25868,8_P1-C-1_01_25877,9_P1-C-2_01_25876,QC1_P1-B-2_01_25857,QC2_P1-B-2_01_25864,QC3_P1-B-2_01_25871,QC4_P1-B-2_01_25879,MB,RT,Prediction,Source Files
64,0.6,80.9478,Unknown,[M+Na]+,similar chromatogram in higher mz_405; similar chromatogram in higher mz_754; similar chromatogram in higher mz_822; similar chromatogram in higher mz_364; adduct linked to 185_[M+K]+; found in higher mz's MsMs_1225; found in higher mz's MsMs_677; similar chromatogram in higher mz_295; similar chromatogram in higher mz_1267; similar chromatogram in higher mz_438; similar chromatogram in higher mz_1491; similar chromatogram in higher mz_975; similar chromatogram in higher mz_1072; similar chromatogram in higher mz_1384; similar chromatogram in higher mz_392; similar chromatogram in higher mz_1013; similar chromatogram in higher mz_1658; similar chromatogram in higher mz_1659; similar chromatogram in higher mz_1235,0.958,False,,,,,,,999,False,False,False,,False,False,,,,,,,,69.98,12_P1-C-5_01_25860,80.94781:9966 81.95116:0 82.95452:4004,,1948,1954,1192,2310,9966,3821,3059,4114,3566,3735,5951,5427,1646,329,5071,3945,7430,7941,3598,1248,3046,2578,3032,3122,GOOD,GOOD,0.0,
69,16.6,81.0702,"w/o MS2:1,5-Hexadien-3-ol",[M+H]+,found in higher mz's MsMs_2434; found in higher mz's MsMs_2396; found in higher mz's MsMs_2244,0.042,False,,81.0699,C6H10O,,SZYLTIUVWARXOO-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,13.1,4_P1-B-6_01_25867,81.07018:1287 82.07353:0 83.07689:782,,0,519,251,218,343,436,324,304,357,487,337,297,354,201,1287,406,200,392,556,247,470,703,500,525,GOOD,GOOD,0.0,
75,0.5,82.0395,Unknown,[M+H]+,,0.042,False,,,,,,,999,False,False,False,,False,False,,,,,,,,4.72,3_P1-B-5_01_25874,82.03949:1702 83.04284:2438 84.0462:908,,464,313,721,578,303,764,581,464,462,449,239,247,573,1702,289,371,170,270,872,1169,861,604,910,642,GOOD,GOOD,0.0,
78,0.5,82.5377,Unknown,[M+H]+,,0.333,False,,,,,,,999,False,False,False,,False,False,,,,,,,,8.11,13_P1-C-6_01_25861,82.53707:2478 83.54042:950 84.54378:0,,969,1678,2834,1677,974,2478,2044,1549,1796,1786,912,913,1720,3916,1044,1053,911,777,1595,3018,1902,1774,2046,1792,GOOD,GOOD,0.0,
79,0.6,82.9452,Unknown,[M+Na]+,found in higher mz's MsMs_1225; adduct linked to 221_[M+K]+; found in higher mz's MsMs_677,0.583,False,,,,,,,999,False,False,False,,False,False,,,,,,,,21.08,12_P1-C-5_01_25860,82.94515:3249 83.9485:0 84.95186:860,,665,636,306,563,3249,1209,1222,1430,1325,1357,2224,1840,649,0,1761,1275,2256,2595,1132,329,1040,890,899,935,GOOD,GOOD,0.0,
83,0.6,83.0213,Unknown,[M+H]+,found in higher mz's MsMs_754,0.583,False,,,,,,,999,False,False,False,,False,False,,,,,,,,9.95,1_P1-B-3_01_25858,83.02134:3982 84.02469:318 85.02805:544,,1244,3982,2005,1972,3948,2492,2540,1326,2445,3850,3291,2229,1996,2744,3846,3021,3780,3124,1800,2931,3065,2590,2541,2892,GOOD,GOOD,0.0,
85,18.6,83.0854,"w/o MS2:3-Hexen-1-ol, (Z)-",[M+H]+,found in higher mz's MsMs_1472; found in higher mz's MsMs_1360; found in higher mz's MsMs_3218,0.042,False,,83.0855,C6H12O,,UFLHIIWVXFIJGU-ARJAWSKDSA-N,,530,True,True,False,,False,False,,,100.0,,,,,12.53,4_P1-B-6_01_25867,83.08538:1284 84.08873:1512 85.09209:3514,,341,491,742,249,600,439,445,668,602,418,579,357,426,430,1284,717,359,126,548,602,758,739,600,521,GOOD,GOOD,0.0,
86,17.6,83.0855,"w/o MS2:3-Hexen-1-ol, (Z)-",[M+H]+,found in higher mz's MsMs_1498; found in higher mz's MsMs_1644; found in higher mz's MsMs_2202; found in higher mz's MsMs_2033; found in higher mz's MsMs_2254; found in higher mz's MsMs_3421; found in higher mz's MsMs_1901; found in higher mz's MsMs_1791; similar chromatogram in higher mz_2201; found in higher mz's MsMs_1361; found in higher mz's MsMs_2458; found in higher mz's MsMs_2296; found in higher mz's MsMs_2265; found in higher mz's MsMs_2079; found in higher mz's MsMs_1358; similar chromatogram in higher mz_4016,0.917,False,,83.0855,C6H12O,,UFLHIIWVXFIJGU-ARJAWSKDSA-N,,530,True,True,False,,False,False,,,100.0,,,,,7.37,4_P1-B-6_01_25867,83.08552:3133 84.08887:1650 85.09223:1778,,0,1688,1772,677,1995,1589,1886,1964,2248,1358,1544,1554,2498,1152,3133,2255,1588,1632,1974,1408,1807,2120,1886,1563,GOOD,GOOD,0.0,
93,0.6,84.0447,Unknown,[M+H-2H2O]+,ion correlated with 886; ion correlated with 693; adduct linked to 421_[M+H]+; found in higher mz's MsMs_511; found in higher mz's MsMs_679; found in higher mz's MsMs_672; found in higher mz's MsMs_512; found in higher mz's MsMs_722,0.333,False,,,,,,,999,False,False,False,,False,False,,,,,,,,11.7,1_P1-B-3_01_25858,84.04449:1905 85.04784:0 86.0512:0,,196,1905,843,1434,156,753,897,331,701,764,326,93,2240,5040,221,676,232,496,398,2641,1213,1422,1074,970,GOOD,GOOD,0.0,
98,7.3,85.0648,Unknown,[M+H]+,found in higher mz's MsMs_923; similar chromatogram in higher mz_458; similar chromatogram in higher mz_660; similar chromatogram in higher mz_923; similar chromatogram in higher mz_1180; similar chromatogram in higher mz_2198; found in higher mz's MsMs_1815,0.25,False,,,,,,,999,False,False,False,,False,False,,,,,,,,7.11,10_P1-C-3_01_25865,85.06477:1371 86.06812:0 87.07148:0,,388,452,1371,504,1189,811,1128,936,580,495,1035,617,0,252,236,248,0,1019,600,1018,581,503,523,459,GOOD,GOOD,0.0,
99,0.5,85.0885,Unknown,[M+H]+,ion correlated with 507; ion correlated with 659; ion correlated with 1147,0.042,False,,,,,,,999,False,False,False,,False,False,,,,,,,,10.76,3_P1-B-5_01_25874,85.08846:1584 86.09181:310 87.09517:0,,158,253,232,96,96,85,258,82,90,120,174,128,0,1584,136,94,0,81,82,246,89,202,118,72,GOOD,GOOD,0.0,
100,18.8,85.1008,w/o MS2:2-Methyl-1-pentanol,[M+H-H2O]+,found in higher mz's MsMs_1664; adduct linked to 464_[M+Na]+; found in higher mz's MsMs_1977,0.042,False,,85.1012,C6H14O,,PFNHSEQQEPMLNI-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,99.9,,,,,12.94,4_P1-B-6_01_25867,85.10083:2177 86.10418:634 87.10754:0,,291,275,574,92,529,535,542,769,760,589,532,556,560,532,2177,483,503,643,592,510,647,1018,732,704,GOOD,GOOD,0.0,
101,17.2,85.101,w/o MS2:2-Methyl-1-pentanol,[M+H]+,,0.042,False,,85.1012,C6H14O,,PFNHSEQQEPMLNI-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,8.72,4_P1-B-6_01_25867,85.10095:1497 86.1043:0 87.10766:0,,92,1064,285,75,605,252,338,786,828,435,576,181,772,394,1497,860,716,523,837,214,703,836,587,597,GOOD,GOOD,0.0,
104,0.8,86.0968,w/o MS2:Unknown (carbon number 5),[M+H]+,ion correlated with 526; similar chromatogram in higher mz_526; found in higher mz's MsMs_526; similar chromatogram in higher mz_1681,0.958,False,2.52,86.097,C5H11N,Unknown,,,530,True,True,False,,False,False,,,100.0,100.0,,,,278.36,3_P1-B-5_01_25874,86.09676:114335 87.10011:8528 88.10347:364,,960,30956,36462,24201,6619,18822,25582,17966,18904,18537,7920,5015,36760,114335,7714,19938,6788,6390,25635,80732,28850,27759,26593,27483,GOOD,GOOD,0.0,
122,13.0,88.0216,Unknown,[M+H]+,,0.083,False,,,,,,,999,False,False,False,,False,False,,,,,,,,9.06,10_P1-C-3_01_25865,88.02161:8396 89.02496:310 90.02832:1526,,2116,1789,8396,2010,2122,1787,1954,1993,1604,2369,2085,2307,1774,1220,2371,2088,1889,2504,3945,2308,2263,2152,2042,2138,GOOD,GOOD,0.0,
124,0.6,88.0396,w/o MS2:Vinyl Carbamate,[M+H-H2O]+,found in higher mz's MsMs_540; adduct linked to 275_[M+H]+,0.125,False,,88.03931,C3H5NO2,Carbamate esters,LVLANIHJQRZTPY-UHFFFAOYSA-N,N=C(O)OC=C,530,True,True,False,,False,False,,,100.0,,,,,12.29,3_P1-B-5_01_25874,88.03957:7547 89.04292:422 90.04628:5976,,72,3285,626,1183,0,691,846,289,1356,1494,170,0,4325,7547,196,921,0,180,518,1941,1676,1760,1638,1692,GOOD,GOOD,0.0,
141,0.6,90.0552,w/o MS2:Sarcosine,[M+H-H2O]+,adduct linked to 511_[M+H]+; found in higher mz's MsMs_511; found in higher mz's MsMs_540; found in higher mz's MsMs_512,0.542,False,,90.055,C3H7NO2,,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,11.04,9_P1-C-2_01_25876,90.05515:5542 91.0585:588 92.06186:0,,0,2321,3235,2137,281,1203,1782,1262,955,1075,142,128,2282,3865,86,1121,198,305,1308,5542,1664,1991,1632,1661,GOOD,GOOD,0.0,
161,0.7,91.0394,w/o MS2:Methoxyacetic acid,[M+H-H2O]+,similar chromatogram in higher mz_350; adduct linked to 706_[M+ACN+H]+; similar chromatogram in higher mz_1334,0.792,False,,91.039,C3H6O3,,RMIODHQZRUFFFF-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,99.9,,,,,11.31,3_P1-B-5_01_25874,91.03941:5936 92.04276:418 93.04612:600,,1139,4065,5616,3137,2428,2313,4833,3359,2416,3550,3577,2172,2765,5936,1197,4716,3597,2596,3679,5839,3332,4143,3928,3733,GOOD,GOOD,0.0,
168,0.5,93.602,Unknown,[M+H]+,ion correlated with 507; ion correlated with 659; ion correlated with 1147,0.042,False,,,,,,,999,False,False,False,,False,False,,,,,,,,24.66,3_P1-B-5_01_25874,93.60204:1233 94.60539:0 95.60875:0,,0,255,0,0,0,0,0,0,0,0,0,0,0,1233,0,0,0,0,0,237,130,73,0,0,GOOD,GOOD,0.0,
171,17.6,95.0855,w/o MS2:exo-Norborneol,[M+H]+,found in higher mz's MsMs_2202; found in higher mz's MsMs_2033; found in higher mz's MsMs_2254; found in higher mz's MsMs_1901; found in higher mz's MsMs_1361,0.083,False,,95.0855,C7H12O,,ZQTYQMYDIHMKQB-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,12.36,12_P1-C-5_01_25860,95.08545:1531 96.0888:426 97.09216:8354,,284,867,1040,487,1531,1278,1060,1463,1398,962,1202,886,1306,751,1862,1484,863,915,1439,1066,1306,1275,1025,1284,GOOD,GOOD,0.0,
172,16.6,95.0855,w/o MS2:exo-Norborneol,[M+H]+,ion correlated with 565; found in higher mz's MsMs_1626; found in higher mz's MsMs_1773; found in higher mz's MsMs_3406; found in higher mz's MsMs_2070; found in higher mz's MsMs_1489,0.083,False,,95.0855,C7H12O,,ZQTYQMYDIHMKQB-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,99.9,,,,,16.75,12_P1-C-5_01_25860,95.08589:1238 96.08924:0 97.0926:468,,87,839,814,143,1238,673,701,1033,1006,531,754,636,690,386,2401,822,709,950,992,644,992,1116,1104,768,GOOD,GOOD,0.0,
173,18.6,95.0856,w/o MS2:exo-Norborneol,[M+ACN+H]+,found in higher mz's MsMs_1360; found in higher mz's MsMs_1472; found in higher mz's MsMs_4480; found in higher mz's MsMs_4534; found in higher mz's MsMs_4533; adduct linked to 16_[M+NH4]+; found in higher mz's MsMs_3218,0.542,False,,95.0855,C7H12O,,ZQTYQMYDIHMKQB-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,12.91,4_P1-B-6_01_25867,95.08558:2564 96.08893:522 97.09229:2908,,842,1029,1651,343,1270,896,1090,1468,1354,946,955,739,1006,1082,2564,1092,878,642,1232,989,1355,1412,1514,1308,GOOD,GOOD,0.0,
175,0.5,95.5115,Unknown,[M+H]+,,0.083,False,,,,,,,999,False,False,False,,False,False,,,,,,,,7.36,QC1_P1-B-2_01_25857,95.51151:1424 96.51486:868 97.51822:6870,,415,1214,715,520,722,798,425,741,446,1099,591,805,803,660,483,493,513,743,640,725,1424,496,848,873,GOOD,GOOD,0.0,
185,0.6,96.9217,Unknown,[M+K]+,similar chromatogram in higher mz_266; similar chromatogram in higher mz_588; adduct linked to 64_[M+Na]+; similar chromatogram in higher mz_1851; similar chromatogram in higher mz_1566,0.958,False,,,,,,,999,False,False,False,,False,False,,,,,,,,24.29,10_P1-C-3_01_25865,96.92181:5666 97.92516:0 98.92852:3996,,0,4341,5666,2198,4646,7414,7654,8570,6362,7455,6541,6885,3913,1523,6116,6021,5322,5395,7844,3880,6329,5794,5828,5334,GOOD,GOOD,0.0,
190,1.3,97.0649,w/o MS2:4-Hydroxyhexenal,[M+H-H2O]+,adduct linked to 376_[M+H]+,0.083,False,,97.0648,C6H10O2,,JYTUBIHWMKQZRB-ONEGZZNKSA-N,,530,True,True,False,,False,False,,,100.0,,,,,4.38,9_P1-C-2_01_25876,97.06494:1408 98.06829:0 99.07165:0,,247,284,369,226,108,120,561,183,276,189,106,115,286,1192,197,74,279,202,274,1408,336,530,591,769,GOOD,GOOD,0.0,
192,20.9,97.1011,w/o MS2:1-Methylcyclohexanol,[M+H]+,found in higher mz's MsMs_1951; similar chromatogram in higher mz_578; similar chromatogram in higher mz_3269,0.042,False,,97.1012,C7H14O,,VTBOTOBFGSVRMA-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,5.57,10_P1-C-3_01_25865,97.10107:1492 98.10442:0 99.10778:0,,0,241,1492,154,313,617,394,373,291,780,123,332,380,417,501,423,234,170,1002,638,463,309,371,398,GOOD,GOOD,0.0,
193,17.6,97.1013,w/o MS2:1-Methylcyclohexanol,[M+H-2H2O]+,ion correlated with 468; found in higher mz's MsMs_1644; found in higher mz's MsMs_2202; similar chromatogram in higher mz_2254; found in higher mz's MsMs_2033; found in higher mz's MsMs_2254; found in higher mz's MsMs_3421; found in higher mz's MsMs_1791; adduct linked to 748_[M+Na]+; found in higher mz's MsMs_2458; found in higher mz's MsMs_2296; found in higher mz's MsMs_2265; similar chromatogram in higher mz_5609; similar chromatogram in higher mz_4045; similar chromatogram in higher mz_5642; similar chromatogram in higher mz_4182,0.958,False,,97.1012,C7H14O,,VTBOTOBFGSVRMA-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,99.9,,,,,19.74,1_P1-B-3_01_25858,97.10082:5132 98.10417:778 99.10753:692,,0,5132,4526,1533,4760,4048,4488,4641,4773,3211,4376,3926,5652,3376,8498,5528,3807,4504,5228,3837,5361,4939,4914,5117,GOOD,GOOD,0.0,
194,20.6,97.1014,w/o MS2:1-Methylcyclohexanol,[M+H]+,found in higher mz's MsMs_3909,0.042,False,,97.1012,C7H14O,,VTBOTOBFGSVRMA-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,6.02,10_P1-C-3_01_25865,97.10135:1493 98.1047:0 99.10806:454,,78,210,1493,230,281,232,364,372,258,420,178,393,378,570,638,313,214,197,883,826,494,312,252,306,GOOD,GOOD,0.0,
195,19.4,97.1014,w/o MS2:1-Methylcyclohexanol,[M+H]+,found in higher mz's MsMs_1628; found in higher mz's MsMs_2307; found in higher mz's MsMs_1532; found in higher mz's MsMs_2297,0.375,False,,97.1012,C7H14O,,VTBOTOBFGSVRMA-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,12.38,10_P1-C-3_01_25865,97.10141:3148 98.10476:778 99.10812:814,,202,364,3148,266,664,1050,1147,1473,1485,1009,568,552,379,1213,1121,689,417,549,2075,1525,1026,1115,940,1293,GOOD,GOOD,0.0,
196,19.8,97.1015,w/o MS2:1-Methylcyclohexanol,[M+H]+,ion correlated with 1784; found in higher mz's MsMs_1767,0.042,False,,97.1012,C7H14O,,VTBOTOBFGSVRMA-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,3.86,3_P1-B-5_01_25874,97.10146:1278 98.10481:374 99.10817:0,,84,466,341,139,315,330,440,137,100,134,0,308,160,1278,358,88,98,203,282,1268,484,498,644,568,GOOD,GOOD,0.0,
221,0.6,98.9184,Unknown,[M+K]+,adduct linked to 79_[M+Na]+,0.875,False,,,,,,,999,False,False,False,,False,False,,,,,,,,43.57,14_P1-C-7_01_25875,98.91836:3618 99.92171:0 100.92507:302,,0,1722,2409,838,1863,3031,3618,3279,2352,2748,2683,3107,1450,621,2355,2280,2420,2096,3157,1773,2456,2554,2417,2416,GOOD,GOOD,0.0,
224,0.7,98.9847,Unknown,[M+H]+,found in higher mz's MsMs_912; found in higher mz's MsMs_1059,0.542,True,,,,,,,999,False,False,False,,False,False,,,,,,,,22.11,1_P1-B-3_01_25858,98.98408:11064 99.98743:0 100.99079:374,80.97338:1254 98.9841:2328,303,11064,10136,8581,751,3714,7203,3246,5040,5116,626,158,10997,26602,601,1533,206,1001,3582,23074,7701,7459,7239,7286,GOOD,GOOD,0.0,
229,1.5,99.0808,w/o MS2:2-Hexenal,[M+H-H2O]+,adduct linked to 572_[M+Na]+,0.583,True,,99.08044,C6H10O,Medium-chain aldehydes,MBDOYVRWFFCFHM-UHFFFAOYSA-N,O=CC=CCCC,530,True,True,False,,False,False,,,99.9,,,,,11.91,3_P1-B-5_01_25874,99.08078:11585 100.08413:1186 101.08749:382,67.51043:658 76.51555:654 87.0036:862 90.94814:754 98.98464:1096,3516,1082,2034,1163,351,1103,3016,1051,531,768,396,106,1317,11585,408,168,76,294,713,9437,1981,2179,2514,2519,GOOD,GOOD,0.0,
230,18.8,99.1168,w/o MS2:2-Methyl-2-hexanol,[M+H]+,ion correlated with 485; ion correlated with 553; ion correlated with 603; ion correlated with 751; ion correlated with 1187; ion correlated with 1368; adduct linked to 429_[M+Na]+,0.042,False,,99.1168,C7H16O,,KRIMXCDMVRMCTC-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,5.85,4_P1-B-6_01_25867,99.11684:1866 100.12019:0 101.12355:0,,162,275,385,97,434,260,337,340,490,352,179,268,460,178,1866,458,176,276,600,322,606,684,550,450,GOOD,GOOD,0.0,
240,0.5,99.5528,Unknown,[M+H]+,,0.083,False,,,,,,,999,False,False,False,,False,False,,,,,,,,4.55,3_P1-B-5_01_25874,99.55276:1488 100.55611:1004 101.55947:0,,432,633,1060,335,437,698,775,452,634,487,242,452,596,1488,222,228,144,142,593,1410,717,747,684,636,GOOD,GOOD,0.0,
249,0.8,101.0239,"w/o MS2:2,4(3H,5H)-Furandione",[M+H]+,,0.083,False,,101.0233,C4H4O3,,JZQBAGOECGRTSA-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,99.8,,,,,5.01,3_P1-B-5_01_25874,101.02386:1263 102.02721:0 103.03057:0,,0,877,612,432,227,400,231,383,1132,746,771,546,623,1263,418,184,307,154,334,453,470,561,565,521,GOOD,GOOD,0.0,
250,20.3,101.0597,"w/o MS2:3,3-Dimethylacrylic acid",[M+H]+,found in higher mz's MsMs_1480; found in higher mz's MsMs_2416; found in higher mz's MsMs_2548; similar chromatogram in higher mz_4089; similar chromatogram in higher mz_4078,0.25,False,,101.0597,C5H8O2,,YYPNJNDODFVZLE-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,7.45,10_P1-C-3_01_25865,101.05968:2380 102.06303:582 103.06639:0,,119,380,2380,394,1569,755,755,2123,1443,426,1777,862,428,96,476,359,316,305,1208,957,967,1154,983,716,GOOD,GOOD,0.0,
